Altitude(km) sigma_p sigma_h sigma_0 kappa_i kappa_e nu_in nu_en omega_e omega_i
  450.00 0.00000044775546240274 0.00000000003453671261 28183.50179279775329632685 12930.18681328095044591464 -4867985.30136949662119150162 0.01333207581781200093 1.03280063084243045601 5027658.29018609505146741867 172.38623093313458412013
  455.00 0.00000039878698451546 0.00000000002831117948 29532.05769828249322017655 14048.30988501835236093029 -5271432.52653268724679946899 0.01224010297979200197 0.95135734757450174381 5015016.06636009272187948227 171.95275968465458049650
  460.00 0.00000035488769056068 0.00000000002319572229 30904.99066233148187166080 15258.79814806710237462539 -5707124.55591370258480310440 0.01124078098911200120 0.87652163813737460352 5002418.16480351518839597702 171.52080813949010007491
  465.00 0.00000031560948832413 0.00000000001899701255 32304.78865319898613961414 16569.07790157889758120291 -6177581.89618487656116485596 0.01032588435786799957 0.80773753310822249407 4989864.76139838807284832001 171.09038232820986991101
  470.00 0.00000028052585724232 0.00000000001555394786 33734.15056315476249437779 17987.14415164391175494529 -6685511.87062800489366054535 0.00948796922684800106 0.74449879092251414203 4977355.50438066571950912476 170.66147018967643589349
  475.00 0.00000024923508009503 0.00000000001273268154 35195.95300283387769013643 19521.61256515444983961061 -7233822.84855274856090545654 0.00872028707286120162 0.68634390443521031688 4964890.21786832809448242188 170.23406569332115623183
  480.00 0.00000022136247141981 0.00000000001042231200 36693.36573383775248657912 21181.79818136918402160518 -7825655.54487091954797506332 0.00801670195110880043 0.63285033408163382518 4952468.72597935143858194351 169.80816280857519018355
  485.00 0.00000019656163264652 0.00000000000853122862 38229.61854493649298092350 22977.70261907315943972208 -8464369.40324830263853073120 0.00737165730980000097 0.58363363430876236126 4940090.67694969661533832550 169.38374947430128258929
  490.00 0.00000017451379347867 0.00000000000698384380 39808.25984273815265623853 24920.18753383476723683998 -9153604.15365033224225044250 0.00678007866079120055 0.53834054476741377560 4927756.24666138179600238800 168.96083172106798997447
  495.00 0.00000015492868693899 0.00000000000571801966 41432.76314382302371086553 27020.84244815539568662643 -9897218.79861052520573139191 0.00623738455786400012 0.49665111296482650216 4915464.73158632032573223114 168.53938542660054622502
  500.00 0.00000013754168004983 0.00000000000468263795 43106.91166344641533214599 29292.27426346925858524628 -10699401.68319983780384063721 0.00573937739041080041 0.45827014003087196414 4903216.30760653689503669739 168.11941662146764997487
  505.00 0.00000012211400550525 0.00000000000383579919 44834.34766571345971897244 31747.95187112120038364083 -11564574.66953729651868343353 0.00528225927534800056 0.42293043736762675477 4891010.62295798677951097488 167.70091324453187553445
  510.00 0.00000010842987170884 0.00000000000314312428 46618.92654657257662620395 34402.51885054988815682009 -12497498.21493163704872131348 0.00486254712894520092 0.39038593307655350406 4878847.50175864808261394501 167.28386926522452426980
  515.00 0.00000009629573297242 0.00000000000257648750 48464.23465346310695167631 37271.65294915901904460043 -13503167.70982066355645656586 0.00447708286188960077 0.36041370978359377197 4866726.76812649983912706375 166.86827865297681228185
  520.00 0.00000008553801054858 0.00000000000211286709 50373.69284727416379610077 40372.28284297487698495388 -14586843.95658301562070846558 0.00412298066114320100 0.33281006066227558637 4854648.42206154204905033112 166.45414140778885325744
  525.00 0.00000007600156110279 0.00000000000173344004 52350.22678357160475570709 43722.67329489481198834255 -15753945.78110219910740852356 0.00379760478705160011 0.30739040411353257820 4842611.76003568619489669800 166.04143340738568213055
  530.00 0.00000006754809646943 0.00000000000142282763 54395.91183066791563760489 47342.41611533111426979303 -17009937.88436826318502426147 0.00349855753684840017 0.28398793497371938033 4830617.13381297979503870010 165.63016671290480985590
  535.00 0.00000006005433583979 0.00000000000116846016 56511.75454411855753278360 51252.65919983155617956072 -18360225.86075306311249732971 0.00322364392037600067 0.26245123847020657148 4818664.01574735529720783234 165.22032323264008368824
  540.00 0.00000005341078039090 0.00000000000096007398 58697.73991314264276297763 55476.14706727603334002197 -19810077.06779940798878669739 0.00297086066137080022 0.24264178222971294341 4806752.40583881363272666931 164.81190296659147520586
  545.00 0.00000004752009022538 0.00000000000078928372 60953.09359589911036891863 60037.40642321878112852573 -21364688.89482219517230987549 0.00273837445150876052 0.22443023400951039870 4794882.12820533290505409241 164.40489988419028577482
  550.00 0.00000004229586996743 0.00000000000064924036 63277.68712483518174849451 64962.93136749601399060339 -23029633.19711417332291603088 0.00252450578262832046 0.20769122175164345112 4783052.65520084928721189499 163.99929589373039107159
  555.00 0.00000003766171949601 0.00000000000053435558 65673.27255720825633034110 70280.99317633546888828278 -24811363.04611764475703239441 0.00232772895860888004 0.19230158092164900685 4771264.33858940377831459045 163.59510305634915994233
  560.00 0.00000003354982653212 0.00000000000044006018 68144.97814482319517992437 76022.24241183347476180643 -26717935.78730991855263710022 0.00214663882664384038 0.17813937845840305263 4759516.47484291251748800278 163.19229724977182627299
  565.00 0.00000002990025109167 0.00000000000036262408 70700.61662933918705675751 82219.50055257041822187603 -28758983.51349051669239997864 0.00197995467511360036 0.16508960539638864451 4747809.23984339553862810135 162.79088450456706027580
  570.00 0.00000002665991166713 0.00000000000029899733 73349.88071119005326181650 88908.20053020623163320124 -30945598.41470157727599143982 0.00182650027546588014 0.15304736455110115600 4736142.28182680997997522354 162.39085275959740783946
  575.00 0.00000002378182428413 0.00000000000024668668 76102.91188806990976445377 96126.58632458469946868718 -33289907.50705783814191818237 0.00168519665795552006 0.14192035828851451429 4724515.60079315770417451859 161.99220201486292580739
  580.00 0.00000002122460226853 0.00000000000020365624 78969.30943197778833564371 103915.31784347374923527241 -35804631.57056787610054016113 0.00155506346448428022 0.13162902290469294386 4712928.66909637115895748138 161.59491417865743301263
  585.00 0.00000001895147567788 0.00000000000016823700 81958.59076321701286360621 112318.87158487398119177669 -38503367.82523371279239654541 0.00143519065858616003 0.12210312832783833115 4701381.66261847317218780518 161.19899528154962808912
  590.00 0.00000001693007858545 0.00000000000013906608 85079.28120608501194510609 121384.34884744844748638570 -41400171.97082875669002532959 0.00132475426024236025 0.11328151566375095627 4689874.22959542181342840195 160.80443326240217061240
  595.00 0.00000001513174686424 0.00000000000011502590 88340.15811622240289580077 131162.92522552239825017750 -44510042.70046518743038177490 0.00122299210554228000 0.10510900260485032953 4678406.19414519425481557846 160.41122209064627668340
  600.00 0.00000001353114959571 0.00000000000009520254 91749.61423639813438057899 141709.30850392053253017366 -47848813.44411488622426986694 0.00112920850031024010 0.09753590621085254930 4666977.38038577046245336533 160.01935573571327608988
  605.00 0.00000001210589246060 0.00000000000007884546 95316.24477894174924585968 153082.49697113229194656014 -51433321.88956241309642791748 0.00104276345993824021 0.09051695704807130594 4655587.78831714671105146408 159.62883419760311198843
  610.00 0.00000001083616338368 0.00000000000006534017 99049.11086325344513170421 165346.14226838425383903086 -55281646.56825250387191772461 0.00096306840444276007 0.08401046919688544279 4644237.06617528479546308517 159.23964541517844395457
  615.00 0.00000000970446871283 0.00000000000005418255 102957.08870458035380579531 178568.08614679405582137406 -59412885.52649974077939987183 0.00088958663771131208 0.07797845529673443077 4632925.03807816002517938614 158.85178335787045966754
  620.00 0.00000000869531525580 0.00000000000004495897 107049.79935098034911789000 192821.67535014561144635081 -63847614.16187347471714019775 0.00082182276296144017 0.07238565745661902640 4621651.52814375143498182297 158.46524199511048891509
  625.00 0.00000000779500379030 0.00000000000003732898 111337.02923054186976514757 208185.36398871082928963006 -68607738.51948215067386627197 0.00075932338502384810 0.06719965502405890467 4610416.36049003805965185165 158.08001529632983306328
  630.00 0.00000000699138973400 0.00000000000003101327 115829.42561401450075209141 224744.16815486986888572574 -73716882.25638921558856964111 0.00070166938949384010 0.06239031541134383574 4599219.53511701896786689758 157.69610326152849211212
  635.00 0.00000000627373823265 0.00000000000002578244 120537.82430236732761841267 242588.87183726855437271297 -79200163.71189203858375549316 0.00064847778316516006 0.05792993960152316435 4588060.70026065222918987274 157.31349382956904037201
  640.00 0.00000000563253543506 0.00000000000002144701 125473.74706434254767373204 261817.14808723912574350834 -85084577.60228359699249267578 0.00059939611334240011 0.05379282367050353120 4576939.68003891594707965851 156.93218096988275078729
  645.00 0.00000000505935731476 0.00000000000001785169 130649.21938090652110986412 282533.81707316130632534623 -91398912.83601747453212738037 0.00055410062520739201 0.04995526021894373253 4565856.47445180919021368027 156.55216468246962335797
  650.00 0.00000000454672749686 0.00000000000001486842 136077.05542346960282884538 304851.82855826499871909618 -98174155.15864743292331695557 0.00051229291831636004 0.04639521190047227184 4554810.73173529095947742462 156.17343290619226081617
  655.00 0.00000000408802934092 0.00000000000001239105 141770.45756243466166779399 328891.88857682340312749147 -105443199.20603704452514648438 0.00047369967159920003 0.04309241667761524314 4543802.27600733749568462372 155.79597961048190768452
  660.00 0.00000000367737916481 0.00000000000001033267 147743.63027750991750508547 354784.29126230545807629824 -113241593.64560447633266448975 0.00043806846766786408 0.04002797150078710869 4532831.28314997069537639618 155.41981082590731944038
  665.00 0.00000000330956350166 0.00000000000000862141 154011.39665051698102615774 382668.72936616383958607912 -121607165.70175561308860778809 0.00040516743742707205 0.03718446359162078801 4521897.22551712766289710999 155.04490846076234333850
  670.00 0.00000000297995355915 0.00000000000000719798 160589.27873086271574720740 412694.87631831062026321888 -130580393.96551387012004852295 0.00037478358797258404 0.03454576747883097293 4510999.92722678557038307190 154.67126648447825232324
  675.00 0.00000000268443316002 0.00000000000000601299 167493.78145805437816306949 445023.85018916707485914230 -140204775.37510979175567626953 0.00034672048437733605 0.03209690523193008127 4500139.38827894348651170731 154.29888489705504639460
  680.00 0.00000000241935006007 0.00000000000000502613 174742.29361495131161063910 479828.45488952385494485497 -150526623.87635853886604309082 0.00032079748945679606 0.02982406363116929526 4489315.60867360420525074005 153.92776369849278239599
  685.00 0.00000000218145499905 0.00000000000000420358 182352.72656539984745904803 517293.35447401646524667740 -161595440.86242482066154479980 0.00029684874833395606 0.02771444563573745995 4478528.06076470017433166504 153.55788479708525073875
  690.00 0.00000000196785124811 0.00000000000000351775 190344.98992716224165633321 557619.07381050835829228163 -173464881.16057294607162475586 0.00027472024431662401 0.02575608800271509888 4467776.74455223325639963150 153.18924819283245142287
  695.00 0.00000000177597202221 0.00000000000000294539 198738.61561714258277788758 601017.56181772134732455015 -186191125.88762909173965454102 0.00025427186091457805 0.02393809929870743813 4457061.66003620252013206482 152.82185388573444129179
  700.00 0.00000000160352114742 0.00000000000000246762 207555.48991818589274771512 647719.35310422268230468035 -199835508.44347429275512695312 0.00023537305632977403 0.02225021125726638072 4446382.27957054227590560913 152.45568378408501075683
  705.00 0.00000000144846051730 0.00000000000000206850 216817.99614380381535738707 697969.76793704787269234657 -214462840.05371609330177307129 0.00021790448656247601 0.02068301799009220412 4435738.77903727721422910690 152.09074391845294371706
  710.00 0.00000000130897068003 0.00000000000000173487 226549.71080136371892876923 752032.46805050619877874851 -230142593.14579138159751892090 0.00020175595430286603 0.01922777927400487127 4425130.98255438357591629028 151.72702825826948469512
  715.00 0.00000000118342854998 0.00000000000000145591 236776.38661674142349511385 810191.73035489965695887804 -246949721.24356245994567871094 0.00018682556124843800 0.01787634550113062146 4414558.53835781849920749664 151.36452474239726484484
  720.00 0.00000000107038893719 0.00000000000000122240 247523.56529797919210977852 872749.33258732967078685760 -264963111.23005196452140808105 0.00017302015791018403 0.01662126191876501374 4404021.27056556101888418198 151.00322734026750026715
  725.00 0.00000000096856009397 0.00000000000000102695 258819.61968550545861944556 940031.69326552806887775660 -284268100.18177706003189086914 0.00016025325865252202 0.01545554830897370203 4393519.35505963210016489029 150.64314208244891801769
  730.00 0.00000000087678741809 0.00000000000000086318 270694.12418416806031018496 1012388.51451986876782029867 -304956089.76335251331329345703 0.00014844524088568640 0.01437273295141362935 4383052.44007598888128995895 150.28425690780414925030
  735.00 0.00000000079404147762 0.00000000000000072588 283177.71610436780611053109 1090193.59107265877537429333 -327123889.45231586694717407227 0.00013752287757230400 0.01336686287623752370 4372620.17385058850049972534 149.92655975519568301024
